Strength,Weakness,Opportunity,Threat
New features,Cost,Platform consistency,Dependency on consultants
New features,Cost,Platform consistency,Dependency on consultants
New features,Cost,Platform consistency,Dependency on consultants
New features,Employee retraining,Platform consistency,Reporting delays
New features,Employee retraining,Platform consistency,Reporting delays
New features,Missing features/limitations,Platform consistency,Reporting delays
New features,Missing features/limitations,Platform consistency,Reporting delays
New features,Missing features/limitations,Platform consistency,Reporting delays
New features,Missing features/limitations,Platform consistency,Reporting delays
Better support,Missing features/limitations,Platform consistency,Reporting delays
Better support,Missing features/limitations,Platform consistency,System downtime (conversion)
Better support,Missing features/limitations,Platform consistency,System downtime (conversion)
New features,Cost,Platform consistency,System downtime (conversion)
New features,Cost,Platform consistency,System downtime (conversion)
Improved user management,Employee retraining,Vendor partnership,System downtime (conversion)
Improved user management,Employee retraining,Vendor partnership,Vendor lock-in
Improved user management,Employee retraining,Vendor partnership,Vendor lock-in
Notification system,Employee retraining,More transparency,Vendor lock-in
Notification system,Customizations loss,More transparency,Vendor lock-in
Notification system,Customizations loss,More transparency,Vendor lock-in
Notification system,Customizations loss,Data lake consolidation,Vendor lock-in
Notification system,"""Clunky"" interface",Data lake consolidation,Vendor lock-in
,"""Clunky"" interface",Data lake consolidation,Vendor lock-in
,"""Clunky"" interface",Data lake consolidation,Employee turn-over
,"""Clunky"" interface",,Employee turn-over
,"""Clunky"" interface",,Employee turn-over
,"""Clunky"" interface",,Employee turn-over
,"""Clunky"" interface",,Employee turn-over
,,,Employee turn-over
,,,Data loss (conversion)
,,,Data loss (conversion)
,,,Data loss (conversion)
,,,Data loss (conversion)
,,,Data loss (conversion)
,,,Data loss (conversion)
,,,Data loss (conversion)
,,Vendor conference (Miami!),
